,nama_produk,harga,diskon,rating,foto_produk,url_produk,nama_toko,lokasi_toko,url_toko,asal_ecommerce
283,Xiaomi Redmi 9A 9C 4A 5A 6A 7A 8A 4X 6 7 Redmi GO Candy Case Macaron Softcase,4323,34,4.8,https://cf.shopee.co.id/file/ab35c2ccbe49b6d57692bac182fe2bd6,https://shopee.co.id/-Xiaomi-Redmi-9A-9C-4A-5A-6A-7A-8A-4X-6-7-Redmi-GO-Candy-Case-Macaron-Softcase-i.5613134.2604308764,moniqueen.com,KOTA JAKARTA UTARA,https://shopee.co.id/moniqueen.com,shopee
170,Koper Luggage Soft Case XIAOMI REDMI 4A 4X 5A 6 8 8A 9A 9C NOTE 9/ PRO,4500,0,4.8,https://images.tokopedia.net/img/cache/250-square/VqbcmM/2020/9/14/8f609319-18dc-4412-ac99-b4ef4d54afc9.jpg,https://m.tokopedia.com/okgrosiracc/koper-luggage-soft-case-xiaomi-redmi-4a-4x-5a-6-8-8a-9a-9c-note-9-pro-rm-4x?whid=0,OK Grosir Acc,Kab. Bekasi,https://m.tokopedia.com/okgrosiracc,tokopedia
19,Auto Focus Xiaomi Redmi Note 4X Snapdragon Leather Soft Case AUTOFOCUS,4900,0,4.8,https://images.tokopedia.net/img/cache/250-square/attachment/2018/4/16/152381764342915/152381764342915_beba5f57-45c1-427b-899e-f1515a0b8b05.png,https://m.tokopedia.com/agenaksesorishp/auto-focus-xiaomi-redmi-note-4x-snapdragon-leather-soft-case-autofocus?whid=0,Agen Aksesoris Hp,Jakarta Pusat,https://m.tokopedia.com/agenaksesorishp,tokopedia
85,Xiaomi Redmi Note 4 4X Pro Snapdragon Casing Tpu Ultrathin Carbon Case,5000,0,4.6,https://images.tokopedia.net/img/cache/250-square/product-1/2017/11/10/0/0_5c09109f-fbbb-40e8-ba58-688a076a0cbc_512_499.jpg,https://m.tokopedia.com/bontothd/xiaomi-redmi-note-4-4x-pro-snapdragon-casing-tpu-ultrathin-carbon-case?whid=0,BONTOT hd,Jakarta Barat,https://m.tokopedia.com/bontothd,tokopedia
116,Anti Crack Case Xiaomi Redmi 4x / Soft case / Casing xiaomi redmi 4x,5000,0,4.6,https://images.tokopedia.net/img/cache/250-square/product-1/2017/6/3/9670946/9670946_abd9797e-2757-46ca-a681-260cf1d1358c_398_398.jpg,https://m.tokopedia.com/stofershop/anti-crack-case-xiaomi-redmi-4x-soft-case-casing-xiaomi-redmi-4x?whid=0,Stofer Shop,Bekasi,https://m.tokopedia.com/stofershop,tokopedia
56,Xiaomi Redmi 4X / Prime Casing Wood Bamboo Soft Case Motif Kayu Cover,5000,0,4.7,https://images.tokopedia.net/img/cache/250-square/product-1/2017/12/2/0/0_f254c77a-8994-4816-bb9c-27ed19f746bd_512_512.jpg,https://m.tokopedia.com/bontothd/xiaomi-redmi-4x-prime-casing-wood-bamboo-soft-case-motif-kayu-cover?whid=0,BONTOT hd,Jakarta Barat,https://m.tokopedia.com/bontothd,tokopedia
259,"Softcase slim matte black solid xiaomi redmi 4a,4x,5a,5plus,note3,note4,note5a,redmi3,redmi3s",5000,Non,4.7,https://cf.shopee.co.id/file/2413f7126257eefac0f4c5b248a4c676,"https://shopee.co.id/-Softcase-slim-matte-black-solid-xiaomi-redmi-4a,4x,5a,5plus,note3,note4,note5a,redmi3,redmi3s-i.7067768.611848901",intristore,KOTA BOGOR,https://shopee.co.id/intristore,shopee
117,SOFTCASE REDMI 4X - TPU CASE DESIGN KOPER XIAOMI REDMI 4X PRIME,5000,0,4.8,https://images.tokopedia.net/img/cache/250-square/product-1/2020/6/22/2488772/2488772_07d9677d-2ad1-4de8-b762-a5cb7061ea60_1280_1280.jpg,https://m.tokopedia.com/benuacell143/softcase-redmi-4x-tpu-case-design-koper-xiaomi-redmi-4x-prime-random?whid=0,BenuaCell,Jakarta Utara,https://m.tokopedia.com/benuacell143,tokopedia
212,Case Candy Xiaomi Redmi 6A 5A 4A 7A 8A 9A 9C 9 4X 5 Note 4 5Pro 5A 6 7 8 9 Pro Plus,5000,44,4.8,https://cf.shopee.co.id/file/b253d4c358918ef671905910481f5706,https://shopee.co.id/-Case-Candy-Xiaomi-Redmi-6A-5A-4A-7A-8A-9A-9C-9-4X-5-Note-4-5Pro-5A-6-7-8-9-Pro-Plus-i.121415713.1901483930,multishopacc,KOTA BOGOR,https://shopee.co.id/multishopacc,shopee
64,""" XIAOMI REDMI 4X "" soft case autofocus leather softcase auto focus",5000,0,4.9,https://images.tokopedia.net/img/cache/250-square/VqbcmM/2020/6/11/14beddc1-d9a0-459f-8af9-9560594dff9b.jpg,https://m.tokopedia.com/tlcase/xiaomi-redmi-4x-soft-case-autofocus-leather-softcase-auto-focus?whid=0,TL CASE_ID,Jakarta Pusat,https://m.tokopedia.com/tlcase,tokopedia
188,XIAOMI REDMI NOTE 4 / 4X | GIIVENCHY Soft Hard Case Shark Bertexture,5000,0,5.0,https://images.tokopedia.net/img/cache/250-square/VqbcmM/2021/2/19/0e11811c-9628-45e6-b700-83742437c064.jpg,https://m.tokopedia.com/tlcase/xiaomi-redmi-note-4-4x-giivenchy-soft-hard-case-shark-bertexture?whid=0,TL CASE_ID,Jakarta Pusat,https://m.tokopedia.com/tlcase,tokopedia
195,Clear case Cover bening ultrathin jelly Case For Xiaomi Redmi 4X,5000,0,5.0,https://images.tokopedia.net/img/cache/250-square/VqbcmM/2021/4/21/bc1533a2-31c2-4895-a62b-1e1b3aa280fc.jpg,https://m.tokopedia.com/global88acc/clear-case-cover-bening-ultrathin-jelly-case-for-xiaomi-redmi-4x?whid=0,Global88acc,Bandung,https://m.tokopedia.com/global88acc,tokopedia
254,"CLASSIC TRUNK CASE (4) - XIAOMI Redmi 4a, 4x, 5a, 6a, 7, Note5 Note5a Note6, Note7",5250,85,4.8,https://cf.shopee.co.id/file/ac25709f8cd67d1af1c53a5dd8bbb6cd,"https://shopee.co.id/-CLASSIC-TRUNK-CASE-(4)---XIAOMI-Redmi-4a,-4x,-5a,-6a,-7,-Note5-Note5a-Note6,-Note7-i.1131373.3835670742",miguncase,KOTA JAKARTA BARAT,https://shopee.co.id/miguncase,shopee
242,case warna full koper silicon tpu case xiaomi redmi 3 4a 5a 5+ 6 6a minote 4 4x 5 5pro 7 8 8a 9 9pro,5299,Non,4.9,https://cf.shopee.co.id/file/2d55ea888ca4dedfaa377f33fc228567,https://shopee.co.id/-case-warna-full-koper-silicon-tpu-case-xiaomi-redmi-3-4a-5a-5+-6-6a-minote-4-4x-5-5pro-7-8-8a-9-9pro-i.335161239.6263325519,rajaacc368,KOTA JAKARTA UTARA,https://shopee.co.id/rajaacc368,shopee
280,{HC} CASING SOFTCASE SILIKON CASE KOPER LUGGAGE TRUNK XIAOMI Redmi note 4a 4x 5a 5 6 6a 7 8 8a 9 pro,5999,Non,4.8,https://cf.shopee.co.id/file/eed2b2f3d220f36a11e1aba677840f5f,https://shopee.co.id/-{HC}-CASING-SOFTCASE-SILIKON-CASE-KOPER-LUGGAGE-TRUNK-XIAOMI-Redmi-note-4a-4x-5a-5-6-6a-7-8-8a-9-pro-i.235048156.3519618370,happycase_id,KAB. BOGOR,https://shopee.co.id/happycase_id,shopee
163,Soft Case Ipaky Carbon XIAOMI A1 5X REDMI NOTE 3 4 4X 5A/ PRIME 5/ PRO,6500,0,4.3,https://images.tokopedia.net/img/cache/250-square/VqbcmM/2020/9/13/165ba560-9a92-45ee-b39f-6288695681f4.jpg,https://m.tokopedia.com/okgrosiracc/soft-case-ipaky-carbon-xiaomi-a1-5x-redmi-note-3-4-4x-5a-prime-5-pro-rm-note-5a?whid=0,OK Grosir Acc,Kab. Bekasi,https://m.tokopedia.com/okgrosiracc,tokopedia
230,Case Casing Candy Xiaomi Redmi Note 4a 4x 5a 5 5plus s2 6a 6 6pro 7 8 7a S2 9 9a 8a 9c mia1 mi8 lite,6500,Non,4.8,https://cf.shopee.co.id/file/a5f9050d25a16cf7946520515c325e06,https://shopee.co.id/-Case-Casing-Candy-Xiaomi-Redmi-Note-4a-4x-5a-5-5plus-s2-6a-6-6pro-7-8-7a-S2-9-9a-8a-9c-mia1-mi8-lite-i.15433280.2188878590,yusikbal,KAB. PATI,https://shopee.co.id/yusikbal,shopee
129,Cartoon Case Xiaomi Redmi 4A / 4X / 5A,6500,0,5.0,https://images.tokopedia.net/img/cache/250-square/product-1/2020/8/29/38452586/38452586_35e620f0-f972-4d99-bc8d-d677abcbe253_2048_2048,https://m.tokopedia.com/sparklingsurabaya/cartoon-case-xiaomi-redmi-4a-4x-5a?whid=0,SPARKLING SURABAYA,Surabaya,https://m.tokopedia.com/sparklingsurabaya,tokopedia
13,"FOR XIAOMI REDMI 4A, 4X, NOTE 4, NOTE 4X - GREEN ARMY WINE RED CASE",7000,0,4.9,https://images.tokopedia.net/img/cache/250-square/product-1/2019/4/14/902755/902755_29e8adfd-7693-4cad-bc37-aa8db314b46c_851_851.jpg,https://m.tokopedia.com/lakucart/for-xiaomi-redmi-4a-4x-note-4-note-4x-green-army-wine-red-case-redmi-4a-green?whid=0,lakucart,Jakarta Barat,https://m.tokopedia.com/lakucart,tokopedia
63,Case Anti Shock Anti Crack Softcase Casing for Xiaomi Redmi Note 4/4x,7500,0,4.8,https://images.tokopedia.net/img/cache/250-square/product-1/2017/8/22/1442596/1442596_a1933c98-d6b3-44e2-9158-52e6e12519a2_800_800.jpg,https://m.tokopedia.com/twelvencom/case-anti-shock-anti-crack-softcase-casing-for-xiaomi-redmi-note-4-4x?whid=0,Twelven com,Jakarta Barat,https://m.tokopedia.com/twelvencom,tokopedia
288,Case Koper Xiaomi Redmi 4a 4x 5a 5plus 6a 6 7a 7 9 9a 9c Note 4 4x 5 7 Note 8 SOftcase Casing Garis,7500,Non,4.8,https://cf.shopee.co.id/file/5fadf19a71fca47d6ede7b705d39b92d,https://shopee.co.id/-Case-Koper-Xiaomi-Redmi-4a-4x-5a-5plus-6a-6-7a-7-9-9a-9c-Note-4-4x-5-7-Note-8-SOftcase-Casing-Garis-i.15433280.6945542503,yusikbal,KAB. PATI,https://shopee.co.id/yusikbal,shopee
76,Case Ultra Slim Matte For Xiaomi Redmi Note 4x Mediatek,7900,0,4.6,https://images.tokopedia.net/img/cache/250-square/product-1/2017/9/26/1442596/1442596_980b1e1e-2c5a-41b7-b27b-78c7b384fe0e_850_850.jpg,https://m.tokopedia.com/twelvencom/case-ultra-slim-matte-for-xiaomi-redmi-note-4x-mediatek?whid=0,Twelven com,Jakarta Barat,https://m.tokopedia.com/twelvencom,tokopedia
121,Case Ultra Slim Matte For Xiaomi Redmi 4x - Hybrid Series,7900,0,4.8,https://images.tokopedia.net/img/cache/250-square/product-1/2017/9/26/1442596/1442596_06225e1d-cabd-46a8-b43e-f60a83bdac85_850_850.jpg,https://m.tokopedia.com/twelvencom/case-ultra-slim-matte-for-xiaomi-redmi-4x-hybrid-series?whid=0,Twelven com,Jakarta Barat,https://m.tokopedia.com/twelvencom,tokopedia
136,Case XIAOMI REDMI 4X Silicone AutoFocus Leather Auto Focus Back Case,7900,0,4.9,https://images.tokopedia.net/img/cache/250-square/product-1/2019/5/13/2033511/2033511_7af02248-ae70-4c31-a5f9-781f0df3f9d2_700_700.jpg,https://m.tokopedia.com/menjualacchp/case-xiaomi-redmi-4x-silicone-autofocus-leather-auto-focus-back-case?whid=0,A&amp;A cell,Jakarta Barat,https://m.tokopedia.com/menjualacchp,tokopedia
91,Aladoy Case Xiaomi Redmi 4X Auto Focus Leather Premium Softcase,8000,0,4.8,https://images.tokopedia.net/img/cache/250-square/product-1/2020/9/1/16500622/16500622_88d0722b-4af2-45d2-acc9-513e8e78cacd_1000_1000,https://m.tokopedia.com/putraaladoy/aladoy-case-xiaomi-redmi-4x-auto-focus-leather-premium-softcase?whid=0,Aladoy Shop Acc,Jakarta Selatan,https://m.tokopedia.com/putraaladoy,tokopedia
96,Case Slim Black Matte Xiaomi Redmi Note 4 / Note 4X Anti Glare,8000,0,4.9,https://images.tokopedia.net/img/cache/250-square/VqbcmM/2020/11/28/2df4e1b5-2d92-408b-afa2-2a216be24c7e.jpg,https://m.tokopedia.com/ranshopz/case-slim-black-matte-xiaomi-redmi-note-4-note-4x-anti-glare?whid=0,RAN_Shopz,Surabaya,https://m.tokopedia.com/ranshopz,tokopedia
59,Case Slim Black Mate Xiaomi Redmi 4X Anti Glare,8000,0,5.0,https://images.tokopedia.net/img/cache/250-square/VqbcmM/2020/11/30/912b434f-0979-4b30-a405-a82853902765.jpg,https://m.tokopedia.com/ranshopz/case-slim-black-mate-xiaomi-redmi-4x-anti-glare?whid=0,RAN_Shopz,Surabaya,https://m.tokopedia.com/ranshopz,tokopedia
158,CASE KOPER XIAOMI REDMI 3 4A 4X 5A 5+ 6 6A 6X MI A2,8500,0,4.8,https://images.tokopedia.net/img/cache/250-square/VqbcmM/2020/11/5/f19098d4-64ee-4a33-bbad-73ea8458efcf.jpg,https://m.tokopedia.com/bangbenstoree/case-koper-xiaomi-redmi-3-4a-4x-5a-5-6-6a-6x-mi-a2-redmi-4a?whid=0,BangBenStore,Bogor,https://m.tokopedia.com/bangbenstoree,tokopedia
313,SOFTCASE REDMI NOTE 4 - CASE IPAKY CARBON XIAOMI REDMI NOTE 4X,8500,0,4.8,https://s1.bukalapak.com/img/64633179081/large/data.jpeg,https://www.bukalapak.com/p/handphone/aksesoris-handphone/casing-cover/2stm9ve-jual-softcase-redmi-note-4-case-ipaky-carbon-xiaomi-redmi-note-4x,Surya Cell Sparepart,Jakarta Utara - DKI Jakarta,https://www.bukalapak.com/u/benua_benua849,bukalapak
322,SOFTCASE REDMI NOTE 4 - CASE IPAKY CARBON XIAOMI REDMI NOTE 4X,8500,0,4.8,https://s1.bukalapak.com/img/64633179081/large/data.jpeg,https://www.bukalapak.com/p/handphone/aksesoris-handphone/casing-cover/2stm9ve-jual-softcase-redmi-note-4-case-ipaky-carbon-xiaomi-redmi-note-4x,Surya Cell Sparepart,Jakarta Utara - DKI Jakarta,https://www.bukalapak.com/u/benua_benua849,bukalapak
203,CASING XIAOMI REDMI 4X 4A 5A 6 7 5PLUS 6A NOTE 4 4X 7 8 Pro CASE CANDY GARIS KOPER LUGGAGE,8500,Non,4.8,https://cf.shopee.co.id/file/ff4eb7c145503c14fb929b8517e2467e,https://shopee.co.id/-CASING-XIAOMI-REDMI-4X-4A-5A-6-7-5PLUS-6A-NOTE-4-4X-7-8-Pro-CASE-CANDY-GARIS-KOPER-LUGGAGE-i.15433280.3408059329,yusikbal,KAB. PATI,https://shopee.co.id/yusikbal,shopee
184,Case Xiaomi Redmi 4X Soft Silikon Anti Crack,8500,0,4.9,https://images.tokopedia.net/img/cache/250-square/product-1/2018/1/23/231145167/231145167_399515aa-26cb-44e1-b265-a75fa310940c_332_443.jpg,https://m.tokopedia.com/sbymurah/case-xiaomi-redmi-4x-soft-silikon-anti-crack-transparan?whid=0,sby murah,Surabaya,https://m.tokopedia.com/sbymurah,tokopedia
201,My Choice Case Silicone Xiaomi Redmi 7 Redmi Note 8/8pro 9pro Note 10 Note 5pro Note 7 Note 4/4X FDT,8500,Non,5.0,https://cf.shopee.co.id/file/f22c83f79b9cdf01683310102439b82f,https://shopee.co.id/-My-Choice-Case-Silicone-Xiaomi-Redmi-7-Redmi-Note-8/8pro-9pro-Note-10-Note-5pro-Note-7-Note-4/4X-FDT-i.20036083.9564066834,vibotech,KOTA TANGERANG SELATAN,https://shopee.co.id/vibotech,shopee
284,"Xiaomi Redmi 6/6A,9 Prime,9A,9C,Note 4/4X,5 Pro,Note 8,9 Pro Fuze Matte Doff Case Premium mika",8930,6,4.7,https://cf.shopee.co.id/file/a6164a5a73276302765f957d221698a8,"https://shopee.co.id/-Xiaomi-Redmi-6/6A,9-Prime,9A,9C,Note-4/4X,5-Pro,Note-8,9-Pro-Fuze-Matte-Doff-Case-Premium-mika-i.13788352.4431599549",trendacc,KAB. BEKASI,https://shopee.co.id/trendacc,shopee
302,Case Xiaomi Redmi 4X 4X Prime Autofocus Premium Leather Ultimate Experience Back Case,9000,70,4.7,https://s2.bukalapak.com/img/2531197643/large/Case_Xiaomi_Redmi_4X_4X_Prime_Autofocus_Premium_Leather_Ulti.jpg,https://www.bukalapak.com/p/handphone/aksesoris-handphone/casing-cover/clzq5f-jual-case-xiaomi-redmi-4x-4x-prime-autofocus-premium-leather-ultimate-experience-back-case,Caselova Store,Bekasi - Jawa Barat,https://www.bukalapak.com/u/caselovastore,bukalapak
274,"Bumper Mika FUZE doff premium case Xiaomi Redmi 6,8 8A Pro,9 Prime,9A,9C,Note 4/4X,5/Pro,Note 8,9",9000,Non,4.7,https://cf.shopee.co.id/file/2ba810d033eff0583be9998c5876629e,"https://shopee.co.id/-Bumper-Mika-FUZE-doff-premium-case-Xiaomi-Redmi-6,8-8A-Pro,9-Prime,9A,9C,Note-4/4X,5/Pro,Note-8,9-i.84991302.5331614976",ok_acc,KAB. BEKASI,https://shopee.co.id/ok_acc,shopee
16,Case galeno slim cross matte xiaomi redmi 4x casing tpu soft cover,9000,0,4.8,https://images.tokopedia.net/img/cache/250-square/attachment/2020/3/6/158349714427946/158349714427946_291c8a74-1353-4e8c-b5fa-0bb724712d14.png,https://m.tokopedia.com/originalmoon/case-galeno-slim-cross-matte-xiaomi-redmi-4x-casing-tpu-soft-cover?whid=0,original moon,Jakarta Pusat,https://m.tokopedia.com/originalmoon,tokopedia
32,""" XIAOMI REDMI NOTE 4 / 4X "" Soft Case CANDY MACARON Babyskin Silicon",9000,0,4.8,https://images.tokopedia.net/img/cache/250-square/VqbcmM/2020/8/10/89c7299f-6684-4b8f-b40b-768d60da3255.jpg,https://m.tokopedia.com/tlcase/xiaomi-redmi-note-4-4x-soft-case-candy-macaron-babyskin-silicon?whid=0,TL CASE_ID,Jakarta Pusat,https://m.tokopedia.com/tlcase,tokopedia
179,CASE AUTO FOCUS LEATHER PREMIUM XIAOMI Redmi 3 4A 4X 5 5A 5 Plus 6 6A,9000,0,4.8,https://images.tokopedia.net/img/cache/250-square/VqbcmM/2020/12/28/c89489a0-9859-43c4-a483-cb1602ac7759.png,https://m.tokopedia.com/trinewacc14/case-auto-focus-leather-premium-xiaomi-redmi-3-4a-4x-5-5a-5-plus-6-6a-redmi-3?whid=0,Trinew Accessories,Palembang,https://m.tokopedia.com/trinewacc14,tokopedia
160,Case matte silikon karet hitam xiomi redmi note 4/note 4x,9000,0,4.9,https://images.tokopedia.net/img/cache/250-square/product-1/2018/8/2/663001/663001_41511ffe-7825-4f80-b109-244f387d0f30_300_300.jpg,https://m.tokopedia.com/irmataufik-shop/case-matte-silikon-karet-hitam-xiomi-redmi-note-4-note-4x?whid=0,irmataufik shop,Jakarta Barat,https://m.tokopedia.com/irmataufik-shop,tokopedia
342,Case Ipaky Carbon Fiber Xiaomi Redmi 4x Softcase Shockproof TPU,9100,30,4.8,https://s4.bukalapak.com/img/46797736542/large/data.jpeg,https://www.bukalapak.com/p/handphone/aksesoris-handphone/casing-cover/96y36o-jual-case-ipaky-carbon-fiber-xiaomi-redmi-4x-softcase-shockproof-tpu,Swiper,Jakarta Barat - DKI Jakarta,https://www.bukalapak.com/u/andyswiper,bukalapak
255,[TPC] SOFT CASE XIAOMI REDMI 4X 4A 5A 6A 5 7 8 9 NOTE 5A 5 6 7 8 9 ZOOTOPIA PLANET LOVE CASING,9263,Non,4.9,https://cf.shopee.co.id/file/afae245cd31e58bade07f906e11f8995,https://shopee.co.id/-[TPC]-SOFT-CASE-XIAOMI-REDMI-4X-4A-5A-6A-5-7-8-9-NOTE-5A-5-6-7-8-9-ZOOTOPIA-PLANET-LOVE-CASING-i.293642020.7450669656,the.pandacase,KOTA BATAM,https://shopee.co.id/the.pandacase,shopee
17,Case Matte Xiaomi Redmi 4X / Black Anti Minyak,9500,0,4.4,https://images.tokopedia.net/img/cache/250-square/product-1/2019/3/26/15762573/15762573_da91ba89-7052-489f-b917-dfc9eeb0b5ab_700_700.jpg,https://m.tokopedia.com/lowcostcell/case-matte-xiaomi-redmi-4x-black-anti-minyak?whid=0,LowCostCell,Bekasi,https://m.tokopedia.com/lowcostcell,tokopedia
28,Case Ipaky Carbon Fiber Xiaomi Redmi Note 4X Softcase Shockproof TPU,9500,0,4.8,https://images.tokopedia.net/img/cache/250-square/product-1/2018/5/21/18340859/18340859_002e4f1f-85ca-4019-900f-8f957a1ac1c6_1000_1000.png,https://m.tokopedia.com/make888/case-ipaky-carbon-fiber-xiaomi-redmi-note-4x-softcase-shockproof-tpu?whid=0,MAKE888,Jakarta Barat,https://m.tokopedia.com/make888,tokopedia
2,Case Ipaky Carbon Fiber Xiaomi Redmi 4X Softcase Shockproof TPU,9500,0,4.9,https://images.tokopedia.net/img/cache/250-square/product-1/2018/5/21/18340859/18340859_4d803d04-b076-435f-9297-00e2c07e760d_1200_1182.jpg,https://m.tokopedia.com/make888/case-ipaky-carbon-fiber-xiaomi-redmi-4x-softcase-shockproof-tpu?whid=0,MAKE888,Jakarta Barat,https://m.tokopedia.com/make888,tokopedia
154,Xiaomi Redmi Note 4/4X - Carbon Fiber Case Rugged Armor Spigen Like,9680,0,4.5,https://images.tokopedia.net/img/cache/250-square/product-1/2019/3/21/10835195/10835195_861331da-ee92-42c8-bd71-ae32e94e0991_494_506.png,https://m.tokopedia.com/lapakbarushop/xiaomi-redmi-note-4-4x-carbon-fiber-case-rugged-armor-spigen-like-hitam?whid=0,Lapak Baru Shop,Bekasi,https://m.tokopedia.com/lapakbarushop,tokopedia
